TEMP,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,,,,,,,,,,
29.2,6.4,8.1,735,3.4,2,3,73,,,,,,,,,,
24.5,6,8,270,3.1,2,72,182,,,,,,,,,,
25.8,5.5,7.8,355,4.2,9,59,133,,,,,,,,,,
24.8,5.5,7.8,371,5.6,3.55,90,283,,,TEMP,DO ,PH,CONDUCT,BOD,NITRATE,FECAL,TOTAL
25.7,5.7,7.9,294,3.2,2.69,45,132,,MIN ,10.5,0,6.3,39,0.2,0,0,1
25,4.5,7.5,513,12.6,2.3,131,320,,MAX,33.8,16.3,14.7,24062,75.6,45.5,310417,23816667
24.8,5.2,7.7,475,10.3,1.9,122,343,,,,,,,,,,
26.3,5.6,7.7,385,3.8,1,110,292,,,,,,,,,,
26.5,5.2,7.8,410,5.2,1.5,77,218,,,,,,,,,,
26,6.5,7.8,178,2.5,1.99,22,74,,,,,,,,,,
29.2,6.2,7.9,749,3.5,1.75,2,80,,,,,,,,,,
29.5,6.4,8,834,4.7,1.8,2,77,,,,,,,,,,
30.2,6.2,8,925,4.2,6.9,2,82,,,,,,,,,,
26.7,6.5,8,730,4,2.9,2,78,,,,,,,,,,
27.2,7,7.9,637,4.7,6.5,2,80,,,,,,,,,,
29.7,6.4,8,656,3.6,1.8,3,82,,,,,,,,,,
26,6.6,8.1,601,3.2,6.75,2,80,,,,,,,,,,
28,5.5,8.1,826,1.7,1,27,161,,,,,,,,,,
31,6.9,9,526,12,0,130,285,,,,,,,,,,
30,5.7,8.5,575,13,0,240,700,,,,,,,,,,
30.5,3.2,8.8,803,15,0,500,1250,,,,,,,,,,
30.5,6.7,9,531,12.5,0,130,425,,,,,,,,,,
29,4.4,8.5,656,13,0,300,500,,,,,,,,,,
30,6.1,8.4,418,6.5,0,300,500,,,,,,,,,,
29.5,6.6,8.2,421,4,0,280,700,,,,,,,,,,
29.5,4.1,9.1,518,16.5,0,240,900,,,,,,,,,,
20,6,8.1,443,0.3,1,2,640,,,,,,,,,,
20.2,5.6,8,462,0.8,1,3,5280,,,,,,,,,,
19.8,6.1,7.9,666,1.8,0.84,2,1160,,,,,,,,,,
26.6,5.8,6.9,290,1.2,2.4,48,628,,,,,,,,,,
27,6.2,7.7,380,1.2,1.56,NA,170,,,,,,,,,,
26.6,6.1,7.4,480,1.3,1.98,3,432,,,,,,,,,,
26.8,5.9,7,315,1.2,1.29,23,1100,,,,,,,,,,
17.5,8.5,8.1,NA,0.7,0,NA,NA,,,,,,,,,,
16.3,8.8,8.1,NA,0.7,0,NA,NA,,,,,,,,,,
16.7,8.1,8,NA,1,0,NA,NA,,,,,,,,,,
17.3,8.4,8.1,NA,1,0,NA,NA,,,,,,,,,,
17,8.7,8.1,NA,0.9,0,NA,NA,,,,,,,,,,
17,8.2,8,NA,1.1,0,NA,NA,,,,,,,,,,
17.2,8.7,7.7,NA,1.1,0,NA,22,,,,,,,,,,
