ph,Solids,Turbidity,Potability
,20791.31898,2.963135381,0
3.716080075,18630.05786,4.500656275,0
8.099124189,19909.54173,3.05593375,0
8.316765884,22018.41744,4.628770537,0
9.092223456,17978.98634,4.075075425,0
5.584086638,28748.68774,2.559708228,0
10.22386216,28749.71654,2.672988737,0
8.635848719,13672.09176,4.401424715,0
,14285.58385,3.595017181,0
11.18028447,25484.50849,4.370561937,0
7.360640106,32452.61441,3.662291783,0
7.974521649,18767.65668,4.011718108,0
7.119824384,18730.81365,3.445756223,0
,27331.36196,4.413974183,0
7.496232208,28388.00489,4.777382337,0
6.347271761,41065.23476,4.376348291,0
7.0517858,30980.60079,4.268428858,0
9.181560007,24041.32628,4.503660796,0
8.975464348,19460.39813,2.43608559,0
7.371050302,25630.32004,2.560299148,0
,22305.56741,4.133422644,0
6.660212026,30944.36359,3.749701241,0
,17107.22423,5.459250956,0
3.902475686,21167.5001,4.528522696,0
5.400301781,17266.59342,4.82478639,0
6.514415093,21218.70287,5.200885077,0
3.445061864,33424.76868,4.184396969,0
,13224.93564,4.004871128,0
,26362.96501,3.991564248,0
,15193.41347,6.038184953,0
7.181448581,15196.22999,5.088859989,0
9.825489908,19677.89247,2.857472426,0
10.43329098,22326.89205,5.057310517,0
7.414148196,32555.85254,3.160624468,0
,14787.20626,5.029166724,0
5.115817064,19620.54533,3.902088768,0
3.641629777,24752.07246,3.464353035,0
5.618064406,17281.97517,2.896546941,0
,19942.27322,2.907563915,0
9.267187531,24683.72357,4.324004646,0
,11703.92391,3.510004045,0
5.331940479,16658.8765,4.434820258,0
7.145771545,28780.34043,5.182590704,0
9.920691059,9973.934059,4.69070723,0
4.758439425,21568.42878,4.542801462,0
5.702925977,35606.44018,4.137739016,0
6.953864226,10575.18628,3.195710328,0
10.68296643,15758.74062,3.999775382,0
,34415.85315,4.405586,0
8.757257397,21536.22469,3.626135442,0
,27492.30731,3.048057223,0
7.809631898,12013.55063,2.447444464,0
6.652488091,19871.78845,3.742090426,0
9.147197055,11920.61084,3.794531591,0
10.56074464,21783.65103,3.96468635,0
7.484254838,30616.61515,4.781188177,0
8.520806573,28779.65001,3.94060453,0
4.999413811,24323.8659,4.460683932,0
,16963.62501,4.405385706,0
,20557.24043,4.08990769,0
3.906078355,32144.79993,3.902879712,0
6.391353624,20965.47831,3.923749169,0
,35729.69271,3.855602212,0
8.692092013,24656.23968,4.477960248,0
8.085759801,32653.91036,4.068688909,0
6.203977702,21815.07415,5.215689206,0
5.058108869,34873.93452,5.106655774,0
,27420.16742,4.620793452,0
,12830.48413,3.439740042,0
7.261550522,24964.7777,3.636364183,0
7.160467231,6743.346066,3.884891044,0
5.704764776,33223.58153,4.157533407,0
6.217273135,19460.38282,5.325833446,0
8.67993497,22984.05095,3.873470298,0
,14859.46642,4.655916599,0
6.897322141,25650.77764,5.02278363,0
3.514545529,23029.66361,3.762615331,0
3.722500486,37962.16799,3.662837732,0
6.455004797,24468.04839,2.293431406,0
7.316804754,31903.39981,3.50837265,0
1.844538366,28689.59578,5.013463351,0
5.519125656,12531.60192,3.75899586,0
7.408985467,9566.12227,3.772420928,0
5.976769618,27267.98186,2.994671096,0
6.395359132,23827.27502,4.191217515,0
6.20964226,13116.70771,3.612519615,0
6.762832522,27159.38435,4.916579161,0
9.918717064,21470.27831,3.385508444,0
10.15544017,12652.36298,5.00246726,0
8.721726711,28608.05208,2.555026904,0
,17153.30616,4.383921814,0
,29721.91163,3.355164642,0
6.099646705,20416.841,3.172789769,0
9.02678772,27965.07215,2.019042018,0
6.953371603,11609.10905,3.651865808,0
6.140877557,26687.87448,5.359460295,0
7.077874007,23873.37821,4.764508265,0
5.488314309,21485.1532,5.066786272,0
7.205559175,24627.86756,3.710053126,0
9.177869866,20868.33122,3.108769988,0
4.270716195,24405.25053,3.763905903,0
7.348844512,11519.04653,4.880875156,0
8.52616987,11837.12336,5.083014142,0
,36152.8209,3.995973787,0
2.612035915,34798.25259,4.76520537,0
8.490571562,22989.79639,3.875556805,0
,22539.71161,3.398592587,0
8.858401531,9624.300462,5.525726338,0
6.098156521,27776.90105,3.977362364,0
8.419970682,13237.9896,3.962478314,0
9.286155021,12311.26837,5.23998187,0
7.875895135,12710.24945,4.238589203,0
7.725332908,36477.73811,3.724836704,0
3.388090611,20230.12558,2.798600948,0
6.745306715,21871.8387,3.90235259,0
,28062.64189,5.629015636,0
7.183825723,14100.96899,4.597165512,0
10.1119767,15331.30269,3.425763242,0
7.397413299,8855.114121,3.14915751,0
7.812804388,42550.84182,6.204846359,0
6.877456933,27433.58729,3.827650072,0
,16367.45837,4.664350321,0
,27418.78104,4.197595209,0
7.521051679,26865.37374,2.880785347,0
8.550875469,28918.41995,3.772886607,0
10.30847766,27653.23518,3.285077052,0
,29368.67418,5.052736766,0
7.371085073,24913.83717,4.412589537,0
11.18069466,16600.39275,3.809841654,0
6.506487767,17087.0769,3.548775589,0
6.643935775,10909.19459,3.812952926,0
5.03377399,34971.80748,3.244948477,0
6.912607562,17973.17886,2.612248953,0
7.977635991,32170.06916,3.5521295,0
6.078335837,35957.79218,4.201580906,0
6.242414484,28149.41179,4.508705098,0
6.06335479,14775.1456,3.467336915,0
8.129585514,27834.2177,3.362537135,0
9.562405944,13041.82914,3.762719837,0
8.167792632,27141.3629,4.289395484,0
8.594416135,15791.67535,3.568991708,0
,20944.62081,3.679795035,0
6.825467901,46140.12685,3.027449578,0
7.861177701,25145.02412,4.157656628,0
4.96577356,21802.7449,3.421766849,0
6.207432968,13442.60347,3.549298841,0
,20067.10533,4.417559791,0
9.769251006,8471.677381,4.636556195,0
9.63066548,23641.70257,4.920091158,0
5.187471605,20060.07873,3.203257896,0
7.633570088,16312.15497,2.927066767,0
5.77119905,24909.44401,4.688959065,0
6.579969329,17657.08418,4.575931872,0
4.801154368,13556.7344,4.418638132,0
7.948815718,19129.45837,3.692250861,0
6.906992172,19991.23915,2.124759352,0
,22452.09081,4.444350199,0
,12224.31051,3.463172548,0
8.461330874,34406.77645,3.771944146,0
7.726134808,21667.86874,3.720636904,0
,19549.49934,3.777737414,0
8.927078148,22821.25438,4.601860959,0
6.20801554,17358.79637,4.334615732,0
6.128425635,9615.83271,4.633823862,0
,11981.74019,2.678910713,0
7.308048848,14600.53952,3.696119712,0
,39906.19027,4.353238589,0
8.640886409,26473.71324,5.263101572,0
,20406.92767,4.102529482,0
8.153210075,10280.9295,2.905788134,0
8.29372011,35216.38597,3.954715283,0
,21136.28676,3.310858508,0
,26009.07526,3.706601792,0
9.489972878,15513.74038,4.219967522,0
7.830976343,7695.063935,4.588784657,0
4.430281212,28862.25717,4.384565156,0
7.240739639,23783.09956,3.556297467,0
,19517.7248,3.665521764,0
6.867301322,24112.15347,3.82359504,0
6.129637015,30989.94841,4.615886181,0
7.917049443,27192.28056,3.659484625,0
6.511618075,29136.81462,4.850433708,0
5.323815584,37625.75268,2.880721846,0
6.769572869,11067.18115,5.22054027,0
5.87797404,13652.2932,4.032259504,0
9.534021716,9472.61492,2.768238928,0
6.340027628,45222.50667,3.686001324,0
8.66159243,27088.47646,3.67043101,0
5.653506135,16462.46009,5.198985504,0
6.626012184,25839.8941,4.194313129,0
7.793833573,18344.68036,4.172935335,0
7.59312765,18371.0572,3.377337638,0
7.362736502,16268.44861,4.408513182,0
9.320305445,16002.13832,4.205809732,0
3.719791644,23590.93213,2.718397734,0
6.655605026,20571.84571,2.951644715,0
9.868877881,15326.85591,3.355489791,0
5.590614436,35370.73552,4.726845017,0
