TEMP,DO,pH,CONDUCTIVITY,BOD
29.2,6.4,8.1,735,3.4
24.5,6,8,270,3.1
25.8,5.5,7.8,355,4.2
24.8,5.5,7.8,371,5.6
25.7,5.7,7.9,294,3.2
25,4.5,7.5,513,12.6
24.8,5.2,7.7,475,10.3
26.3,5.6,7.7,385,3.8
26.5,5.2,7.8,410,5.2
26,6.5,7.8,178,2.5
29.2,6.2,7.9,749,3.5
29.5,6.4,8,834,4.7
30.2,6.2,8,925,4.2
26.7,6.5,8,730,4
27.2,7,7.9,637,4.7
29.7,6.4,8,656,3.6
26,6.6,8.1,601,3.2
28,5.5,8.1,826,1.7
31,6.9,9,526,12
30,5.7,8.5,575,13
30.5,3.2,8.8,803,15
30.5,6.7,9,531,12.5
29,4.4,8.5,656,13
30,6.1,8.4,418,6.5
29.5,6.6,8.2,421,4
29.5,4.1,9.1,518,16.5
20,6,8.1,443,0.3
20.2,5.6,8,462,0.8
19.8,6.1,7.9,666,1.8
26.6,5.8,6.9,290,1.2
27,6.2,7.7,380,1.2
26.6,6.1,7.4,480,1.3
26.8,5.9,7,315,1.2
17.5,8.5,8.1,NA,0.7
16.3,8.8,8.1,NA,0.7
16.7,8.1,8,NA,1
17.3,8.4,8.1,NA,1
17,8.7,8.1,NA,0.9
17,8.2,8,NA,1.1
17.2,8.7,7.7,NA,1.1
21,6.9,7.8,NA,5.2
24.4,5.4,7.5,NA,5.3
18.7,7.7,7.7,NA,2.1
23,9,7.4,242,2.5
23,8,7.4,310,2.7
22,8.2,7.5,293,2.6
23,7.8,7.4,320,3.1
23,7.3,7.5,277,1.4
26.9,7.9,7.9,288,2.9
26.9,7.3,7.9,276,3.2
27,7.9,8.2,290,3
27,7.5,8.2,307,3.4
27,6.3,7.7,430,5.5
22.1,8,7.8,213,3.7
22.1,8.2,7.8,209,3.6
24.4,8.7,8.3,385,3.6
24.5,8.4,8.3,382,3.9
24.4,8.5,8.3,404,4.2
22.4,8.4,7.7,290,2.5
23.8,8.4,7.6,299,2.6
22.5,8.3,8.2,338,2.9
22.5,7.8,8.5,385,4.5
22.7,7.7,8.5,369,3.9
17,8.6,8,290,1.8
24.5,8.4,8.1,371,2.5
24.9,8.1,8.1,376,2.7
24.5,8.1,8.1,376,2.3
22.3,8.2,8.1,270,2.2
23.8,8.3,8.2,311,2.5
24.7,7.8,7.9,402,2.8
24.9,7.9,8,402,2.7
24.7,7.3,7.7,452,2.5
24.4,8.1,8,386,2.3
24.1,7.8,7.9,277,2.3
24,7.7,7.8,295,2.6
23.9,7.6,7.8,268,2.4
24,7.7,7.8,280,2.5
24.4,7.7,7.8,276,2.6
23.4,7.8,7.9,265,2.7
24.5,8.2,8.1,352,2.5
24.1,8.1,8.1,375,2.4
23.4,7.8,7.9,260,2.2
23.8,7.8,7.9,267,2.3
23.9,7.8,7.9,270,2.3
23.9,7.7,7.9,262,2.4
24.5,8,8,377,2.4
22.5,7.7,7.9,292,2.3
26.5,7.4,7.9,304,4.2
27.4,7.4,7.9,353,3.3
28.3,6.9,8,312,2.8
27,6.7,7.8,315,3.4
27.3,6,7.9,323,3.1
26.5,6.7,8,319,4.2
26.5,6.3,8,314,3.6
26.4,6.1,8.1,322,3.2
27.1,6.3,8.1,368,3.4
26.4,6.9,8,1900,3.7
22.3,7.2,7.1,216,1.5
21.8,7.7,7.2,256,1.4
25.1,6.9,7,273,1.5
24.3,7.5,7,298,1.3
25.4,7.9,7.2,236,1.4
27.7,6,7.3,295,1.1
27,8.1,7.6,210,0.9
25.8,7.3,7.1,168,1.6
27.3,7.1,7.2,289,1.6
28.2,5.1,7,253,1.5
23.1,6.8,8.1,160,3.1
24.1,6.8,7.4,449,2.9
23.8,6,8.2,262,5.1
25,6.7,7.6,441,2.9
23.7,7,7.5,711,3
24,7,7.5,400,2.8
20.8,6.1,8.4,551,5.6
22,6.2,8.3,458,4.6
22.7,6.1,8.2,413,5.5
29,7.5,8,685,2.1
28,7.5,8,808,1.8
29.3,5.9,8.3,521,1.5
29.4,7.2,8.3,916,1.9
29.5,7.1,8.2,718,1.9
29.2,6.2,8.3,513,1.4
17.6,5.3,8.1,874,10.5
26,6.7,8.1,791,2.6
17.2,5.6,8.1,870,9.5
28.4,5.7,8.7,1072,1.6
24.9,6.8,7.9,726,0.9
27.6,7,7.8,669,0.6
25.8,7.2,8,669,0.7
28.4,6.8,8.2,818,2.9
26,5.5,7.6,14804,0.7
19.7,6.5,8.2,NA,1.1
18.7,7.7,8.2,NA,1.3
22.3,7.7,7.5,465,1.2
23.7,7.5,7.8,331,1.5
NA,9.3,7.6,NA,2.4
NA,1.2,7.5,NA,17.2
NA,1.4,7.6,NA,17.3
25,4,7.7,196,8.3
25,3.7,7.5,273,9.2
25.3,4.5,7.5,281,7
24.8,8.1,8.2,522,2.4
NA,1.4,7.5,NA,38.2
27.4,5.4,7.7,394,1
27.7,5.8,7.7,298,1
28.7,7.1,7.9,416,3
26.7,6.3,8.2,573,2.9
27,6.9,7.3,1560,7.3
29.4,6.6,7.7,1049,4.3
26.1,4.4,7.8,467,3.8
26.2,5.7,7.9,370,2.2
26.9,6.7,7.7,78,0.4
25.3,7.2,7.5,219,1.1
25.8,7.2,7.9,299,1.4
25.7,7.2,7.9,266,1.3
25.7,5.5,7.7,282,2.3
24.7,7.4,7.7,138,0.7
24.4,8.1,7.7,108,0.7
24.6,7.5,7.7,207,1.1
26.8,7.2,7.9,161,1.9
27.3,6.3,8.1,555,1.5
27.4,7.2,7.9,304,1.8
26.8,5.9,8.1,442,0.9
27.2,6.4,8.1,481,0.9
13.2,8.9,7.1,133,0.3
17.2,7.9,7.5,295,0.6
23.3,7.7,7.7,302,1.1
23.9,7.5,7.7,348,1.4
17.4,7.9,7.3,242,0.7
21.9,8.1,7.6,508,1.1
22.8,7.9,7.6,467,1.4
10.5,9.3,6.9,82,0.2
11.2,9.3,6.9,86,0.3
12.6,9,7,163,0.3
23.6,NA,7.5,706,49.1
24.3,1.1,7.4,1499,75.6
20.1,0.8,7.4,586,24
26.8,6.4,7.6,576,2.8
25.9,7.5,7.8,361,0.6
26.9,7.4,8.3,371,0.7
27.5,6.7,8.5,218,3
24,7.1,8.1,386,3.2
26.2,7.3,7.9,515,NA
26.7,1.5,8.2,6485,NA
26.2,5.6,7.8,317,0.8
27,7.2,7.9,338,1.9
